,Year,TRK,Track,Category,Session,Date,Track_Condition,Track_Temp,Air_Temp,Humidity,Position,Points,Rider_Number,Rider_Name,Nationality,Team_Name,Bike,Avg_Speed,Time
0,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,1,0,,Valentino ROSSI,ITA,,Honda,165.9,44'13.182
1,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,2,0,,Max BIAGGI,ITA,,Honda,165.5,+6.445
2,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,3,0,,Loris CAPIROSSI,ITA,,Ducati,165.4,+8.209
3,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,4,0,,Sete GIBERNAU,SPA,,Honda,165.1,+13.209
4,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,5,0,,Troy BAYLISS,AUS,,Ducati,164.5,+23.099
5,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,6,0,,Colin EDWARDS,USA,,Aprilia,164.2,+29.040
6,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,7,0,,Nicky HAYDEN,USA,,Honda,164.1,+29.126
7,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,8,0,,Alex BARROS,BRA,,Yamaha,164.1,+30.526
8,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,9,0,,Shinya NAKANO,JPN,,Yamaha,163.9,+33.447
9,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,10,0,,Carlos CHECA,SPA,,Yamaha,163.5,+40.200
10,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,11,0,,Norick ABE,JPN,,Yamaha,163.2,+44.790
11,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,12,0,,Noriyuki HAGA,JPN,,Aprilia,162.1,+1'03.358
12,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,13,0,,John HOPKINS,USA,,Suzuki,162.0,+1'03.950
13,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,14,0,,Kenny ROBERTS JR,USA,,Suzuki,162.0,+1'04.085
14,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,15,0,,Olivier JACQUE,FRA,,Yamaha,161.7,+1'09.990
15,2003,JPN,JAPANESE GRAND PRIX - Suzuka Circuit,MotoGP,RAC,"April,04,2003",n/a,n/a,n/a,n/a,16,0,,Garry McCOY,AUS,,Kawasaki,161.3,+1'16.572
